6323,OFF,-0.13,1.36,-0.04
6323,OFF,-0.16,1.45,-0.04
6324,OFF,-0.14,1.37,-0.05
6325,ON,-0.11,1.28,-0.05
6325,ON,-0.08,1.19,-0.05
6326,ON,-0.07,1.19,-0.05
6327,ON,-0.07,1.19,-0.04
6328,OFF,-0.10,1.28,-0.04
6328,OFF,-0.13,1.37,-0.04
6329,OFF,-0.16,1.45,-0.05
6330,OFF,-0.13,1.37,-0.05
6330,OFF,-0.10,1.28,-0.06
6331,ON,-0.07,1.19,-0.05
6332,ON,-0.07,1.19,-0.05
6332,ON,-0.07,1.19,-0.05
6333,ON,-0.09,1.26,-0.05
6334,OFF,-0.11,1.33,-0.05
6335,OFF,-0.14,1.43,-0.04
6335,OFF,-0.16,1.45,-0.04
6336,OFF,-0.17,1.41,-0.04
6337,ON,-0.14,1.32,-0.05
6337,ON,-0.10,1.23,-0.05
6338,ON,-0.07,1.20,-0.05
6339,ON,-0.07,1.20,-0.04
6340,OFF,-0.10,1.28,-0.04
6340,OFF,-0.13,1.36,-0.04
6341,OFF,-0.17,1.45,-0.04
6342,OFF,-0.14,1.37,-0.04
6342,OFF,-0.11,1.28,-0.05
6343,ON,-0.07,1.19,-0.06
6344,ON,-0.07,1.19,-0.06
6344,ON,-0.07,1.19,-0.07
6345,ON,-0.08,1.25,-0.06
6346,OFF,-0.09,1.31,-0.05
6347,OFF,-0.12,1.40,-0.05
6347,OFF,-0.15,1.43,-0.05
6348,OFF,-0.17,1.46,-0.05
6349,ON,-0.14,1.37,-0.05
6349,ON,-0.10,1.28,-0.05
6350,ON,-0.07,1.19,-0.06
6351,ON,-0.09,1.27,-0.05
6351,ON,-0.11,1.34,-0.05
6352,OFF,-0.14,1.43,-0.04
6353,OFF,-0.15,1.45,-0.04
6354,OFF,-0.17,1.47,-0.04
6354,OFF,-0.14,1.38,-0.05
6355,ON,-0.10,1.28,-0.06
6356,ON,-0.07,1.20,-0.05
6356,ON,-0.07,1.20,-0.05
6357,ON,-0.07,1.21,-0.04
6358,OFF,-0.10,1.30,-0.05
6359,OFF,-0.13,1.39,-0.05
6359,OFF,-0.16,1.46,-0.05
6360,OFF,-0.16,1.47,-0.04
6361,ON,-0.13,1.38,-0.04
6361,ON,-0.10,1.29,-0.05
6362,ON,-0.06,1.20,-0.05
6363,ON,-0.08,1.26,-0.05
6363,ON,-0.09,1.32,-0.05
6364,OFF,-0.12,1.41,-0.04
6365,OFF,-0.14,1.44,-0.04
6366,OFF,-0.17,1.47,-0.05
6366,OFF,-0.14,1.38,-0.06
6367,ON,-0.12,1.29,-0.06
6368,ON,-0.08,1.19,-0.06
6368,ON,-0.08,1.19,-0.05
6369,ON,-0.07,1.19,-0.05
6370,OFF,-0.10,1.28,-0.04
6371,OFF,-0.13,1.36,-0.04
6371,OFF,-0.17,1.46,-0.04
6372,OFF,-0.14,1.37,-0.05
6373,ON,-0.10,1.29,-0.05
6373,ON,-0.07,1.20,-0.06
6374,ON,-0.07,1.20,-0.06
6375,ON,-0.07,1.22,-0.05
6375,ON,-0.10,1.30,-0.05
6376,OFF,-0.13,1.39,-0.05
6377,OFF,-0.17,1.45,-0.05
6378,OFF,-0.17,1.46,-0.05
6378,OFF,-0.18,1.41,-0.05
6379,ON,-0.14,1.32,-0.05
6380,ON,-0.11,1.23,-0.05
6380,ON,-0.07,1.19,-0.06
6381,ON,-0.07,1.19,-0.05
6382,OFF,-0.10,1.27,-0.04
6383,OFF,-0.13,1.36,-0.04
6383,OFF,-0.17,1.45,-0.04
6384,OFF,-0.14,1.37,-0.04
6385,ON,-0.11,1.28,-0.05
6385,ON,-0.08,1.19,-0.06
